dataset,nb_trees,file,nb_quads,memory_usage,loading_time
wasm_tree,1,data/persondata_en_1M.ttl,999999,409988,5.296358570000157
graphy,1,data/persondata_en_1M.ttl,999999,594456,5.491479806000367
n3,3,data/persondata_en_1M.ttl,999999,1284384,6.768140476999805
wasm_tree,6,data/persondata_en_1M.ttl,999999,407476,7.386121371999383
n3,3,data/persondata_en_1M.ttl,999999,1287932,6.89390885899961
wasm_tree,6,data/persondata_en_1M.ttl,999999,406720,7.328292297998443
wasm_tree,6,data/persondata_en_1M.ttl,999999,407180,7.286764490999281
tree,6,data/persondata_en_1M.ttl,999999,30576,13.085751969998702
graphy,1,data/persondata_en_1M.ttl,999999,595684,5.566775534000247
tree,6,data/persondata_en_1M.ttl,999999,31084,12.8172283950001
n3,3,data/persondata_en_1M.ttl,999999,1288176,7.045893986999989
tree,1,data/persondata_en_1M.ttl,999999,30208,10.56354842799902
graphy,1,data/persondata_en_1M.ttl,999999,595532,5.463717093000189
tree,6,data/persondata_en_1M.ttl,999999,31512,12.621977632001043
n3,3,data/persondata_en_1M.ttl,999999,1284384,6.796818346001208
graphy,1,data/persondata_en_1M.ttl,999999,594720,5.428899703999981
tree,1,data/persondata_en_1M.ttl,999999,29696,10.524537519000472
graphy,1,data/persondata_en_1M.ttl,999999,596764,5.523590082000941
tree,1,data/persondata_en_1M.ttl,999999,30208,10.261552124999463
tree,6,data/persondata_en_1M.ttl,999999,31356,12.800476482000201
graphy,1,data/persondata_en_1M.ttl,999999,600388,6.044504333999008
n3,3,data/persondata_en_1M.ttl,999999,1292072,6.893551520999521
wasm_tree,1,data/persondata_en_1M.ttl,999999,410280,5.287589869000017
wasm_tree,6,data/persondata_en_1M.ttl,999999,407564,7.326293202999979
wasm_tree,6,data/persondata_en_1M.ttl,999999,407472,7.405525309998542
graphy,1,data/persondata_en_1M.ttl,999999,594968,5.48963956400007
n3,3,data/persondata_en_1M.ttl,999999,1287572,6.9076909059993925
